,,,,,,,# started on Fri Mar  4 11:28:47 2022,# started on Fri Mar  4 11:28:48 2022
0.0,,alignment-faults,0.00%,443042,100.0,0.0,K/sec,
0.0,,context-switches,0.00%,443042,100.0,0.0,K/sec,
0.44,msec,cpu-clock,3.31%,443042,100.0,0.475,CPUs utilized,
0.0,,cpu-migrations,0.00%,443042,100.0,0.0,K/sec,
0.0,,emulation-faults,0.00%,443042,100.0,0.0,K/sec,
327687.0,,branch-instructions,0.89%,433508,100.0,,,
7772.0,,branch-misses,1.58%,433508,100.0,2.37,,of all branches
7772.0,,branch-load-misses,1.58%,433508,100.0,,,
327741.0,,branch-loads,0.89%,433508,100.0,,,
20054.0,,L1-dcache-load-misses,6.29%,432658,100.0,2.95,,of all L1-dcache accesses
678811.0,,L1-dcache-loads,0.69%,432658,100.0,,,
10949.0,,L1-dcache-prefetches,12.07%,432658,100.0,,,
5484.0,,L1-icache-load-misses,1.22%,432658,100.0,1.4,,of all L1-icache accesses
392562.0,,L1-icache-loads,0.72%,432658,100.0,,,
0.0,,major-faults,0.00%,425300,100.0,,,
55.0,,minor-faults,1.22%,425300,100.0,,,
55.0,,page-faults,1.22%,425300,100.0,,,
24134.0,,cache-misses,1.21%,425192,100.0,23.766,,of all cache refs
101549.0,,cache-references,2.93%,425192,100.0,,,
1028524.0,ns,duration_time,6.18%,1028524,100.0,2260.522,M/sec,
0.45,msec,task-clock,4.16%,454994,100.0,0.442,CPUs utilized,
1463555.0,,cpu-cycles,4.29%,455266,100.0,3.217,GHz,
1604073.0,,instructions,0.78%,455266,100.0,1.1,insn per cycle,
0.0,,bpf-output,0.00%,454994,100.0,0.0,K/sec,
817.0,,dTLB-load-misses,1.43%,473128,100.0,24.08,,of all dTLB cache accesses
3391.0,,dTLB-loads,1.78%,473128,100.0,,,
107.0,,iTLB-load-misses,0.86%,473128,100.0,565.26,,of all iTLB cache accesses
19.0,,iTLB-loads,5.26%,473128,100.0,,,
