,,,,,,,# started on Fri Mar  4 11:29:05 2022
17806.0,,L1-dcache-load-misses,8.38%,446708,100.0,2.55,of all L1-dcache accesses
698291.0,,L1-dcache-loads,1.05%,446708,100.0,,
8155.0,,L1-dcache-prefetches,23.25%,446708,100.0,,
5428.0,,L1-icache-load-misses,1.99%,446708,100.0,1.39,of all L1-icache accesses
391766.0,,L1-icache-loads,0.69%,446708,100.0,,
347451.0,,branch-instructions,1.89%,439734,100.0,,
7794.0,,branch-misses,3.35%,439734,100.0,2.24,of all branches
7795.0,,branch-load-misses,3.35%,439734,100.0,,
347505.0,,branch-loads,1.89%,439734,100.0,,
0.0,,alignment-faults,0.00%,424304,100.0,0.0,K/sec
0.0,,context-switches,0.00%,424304,100.0,0.0,K/sec
0.42,msec,cpu-clock,3.02%,424304,100.0,0.478,CPUs utilized
0.0,,cpu-migrations,0.00%,424304,100.0,0.0,K/sec
0.0,,emulation-faults,0.00%,424304,100.0,0.0,K/sec
753.0,,dTLB-load-misses,3.21%,430376,100.0,22.26,of all dTLB cache accesses
3383.0,,dTLB-loads,2.16%,430376,100.0,,
105.0,,iTLB-load-misses,1.07%,430376,100.0,533.67,of all iTLB cache accesses
20.0,,iTLB-loads,10.65%,430376,100.0,,
1173254.0,ns,duration_time,7.15%,1173254,100.0,2154.142,M/sec
0.54,msec,task-clock,8.41%,544650,100.0,0.464,CPUs utilized
1707079.0,,cpu-cycles,10.65%,545302,100.0,3.134,GHz
1700401.0,,instructions,1.61%,545302,100.0,1.0,insn per cycle
0.0,,bpf-output,0.00%,544650,100.0,0.0,K/sec
0.0,,major-faults,0.00%,440510,100.0,,
55.0,,minor-faults,1.06%,440510,100.0,,
55.0,,page-faults,1.06%,440510,100.0,,
22985.0,,cache-misses,1.41%,440890,100.0,23.533,of all cache refs
97673.0,,cache-references,4.38%,440890,100.0,,
