,,,,,,,# started on Fri Mar  4 09:42:48 2022
0.0,,major-faults,0.00%,450822,100.0,,
53.0,,minor-faults,0.84%,450822,100.0,,
53.0,,page-faults,0.84%,450822,100.0,,
22406.0,,cache-misses,1.41%,451174,100.0,23.336,of all cache refs
96015.0,,cache-references,4.42%,451174,100.0,,
0.0,,alignment-faults,0.00%,442704,100.0,0.0,K/sec
0.0,,context-switches,0.00%,442704,100.0,0.0,K/sec
0.44,msec,cpu-clock,2.22%,442704,100.0,0.465,CPUs utilized
0.0,,cpu-migrations,0.00%,442704,100.0,0.0,K/sec
0.0,,emulation-faults,0.00%,442704,100.0,0.0,K/sec
735.0,,dTLB-load-misses,3.68%,462120,100.0,23.47,of all dTLB cache accesses
3131.0,,dTLB-loads,1.25%,462120,100.0,,
103.0,,iTLB-load-misses,1.47%,462120,100.0,668.83,of all iTLB cache accesses
15.0,,iTLB-loads,7.57%,462120,100.0,,
16068.0,,L1-dcache-load-misses,8.08%,491920,100.0,2.34,of all L1-dcache accesses
687896.0,,L1-dcache-loads,1.84%,491920,100.0,,
6343.0,,L1-dcache-prefetches,25.64%,491920,100.0,,
5415.0,,L1-icache-load-misses,1.37%,491920,100.0,1.34,of all L1-icache accesses
404239.0,,L1-icache-loads,0.74%,491920,100.0,,
334875.0,,branch-instructions,2.89%,465526,100.0,,
8450.0,,branch-misses,1.45%,465526,100.0,2.52,of all branches
8450.0,,branch-load-misses,1.45%,465526,100.0,,
334929.0,,branch-loads,2.89%,465526,100.0,,
1375198.0,ns,duration_time,4.21%,1375198,100.0,2110.999,M/sec
0.65,msec,task-clock,10.69%,651444,100.0,0.474,CPUs utilized
1664641.0,,cpu-cycles,10.24%,652944,100.0,2.555,GHz
1641227.0,,instructions,2.33%,652944,100.0,0.99,insn per cycle
0.0,,bpf-output,0.00%,651444,100.0,0.0,K/sec
