,,,,,,,# started on Fri Mar  4 09:42:47 2022
0.0,,alignment-faults,0.00%,417634,100.0,0.0,K/sec
0.0,,context-switches,0.00%,417634,100.0,0.0,K/sec
0.42,msec,cpu-clock,4.24%,417634,100.0,0.482,CPUs utilized
0.0,,cpu-migrations,0.00%,417634,100.0,0.0,K/sec
0.0,,emulation-faults,0.00%,417634,100.0,0.0,K/sec
1073624.0,ns,duration_time,5.36%,1073623,100.0,2138.111,M/sec
0.5,msec,task-clock,7.49%,502136,100.0,0.468,CPUs utilized
1498779.0,,cpu-cycles,8.69%,502682,100.0,2.985,GHz
1623590.0,,instructions,2.37%,502682,100.0,1.08,insn per cycle
0.0,,bpf-output,0.00%,502136,100.0,0.0,K/sec
0.0,,major-faults,0.00%,458340,100.0,,
53.0,,minor-faults,0.76%,458340,100.0,,
53.0,,page-faults,0.76%,458340,100.0,,
22941.0,,cache-misses,1.51%,458538,100.0,22.459,of all cache refs
102149.0,,cache-references,0.46%,458538,100.0,,
753.0,,dTLB-load-misses,4.28%,467868,100.0,23.49,of all dTLB cache accesses
3205.0,,dTLB-loads,2.13%,467868,100.0,,
104.0,,iTLB-load-misses,1.54%,467868,100.0,720.83,of all iTLB cache accesses
14.0,,iTLB-loads,2.78%,467868,100.0,,
19302.0,,L1-dcache-load-misses,5.43%,436814,100.0,2.85,of all L1-dcache accesses
676502.0,,L1-dcache-loads,1.73%,436814,100.0,,
10650.0,,L1-dcache-prefetches,11.15%,436814,100.0,,
5577.0,,L1-icache-load-misses,3.80%,436814,100.0,1.42,of all L1-icache accesses
392521.0,,L1-icache-loads,1.09%,436814,100.0,,
333536.0,,branch-instructions,2.58%,468882,100.0,,
8377.0,,branch-misses,2.22%,468882,100.0,2.51,of all branches
8377.0,,branch-load-misses,2.22%,468882,100.0,,
333590.0,,branch-loads,2.58%,468882,100.0,,
